Ticket_ID,Customer_Name,Customer_Age,Customer_Gender,Product_Purchased,Date,Ticket_Type,Ticket_Subject,Ticket_Status,Priority,Channel,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating,Category,Resolution_Duration,Priority_Score,Cluster_Name,Cluster_ID,Country,Latitude,Longitude,SLA_Breach,Efficiency_Score
60,Samuel Schroeder,40,Other,Apple AirPods,2021-09-05,Product inquiry,Cancellation request,Closed,Medium,Chat,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0,Feature Request,0.6494444444444445,2,Standard Service,3,Canada,56.1304,-106.3468,False,3.0795551753635584
61,Amanda Burton,40,Male,Sony 4K HDR TV,2020-11-16,Cancellation request,Product setup,Closed,Medium,Chat,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0,Other,11.91666666666667,2,Standard Service,3,India,20.5937,78.9629,False,0.16783216783216778
63,Frank Sherman,64,Female,Xbox,2020-12-12,Billing inquiry,Payment issue,Closed,High,Email,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0,Billing,12.68444444444444,3,Fast & Satisfied,1,Canada,56.1304,-106.3468,False,0.23651016117729512
67,John Robertson,49,Female,GoPro Hero,2021-08-08,Billing inquiry,Product compatibility,Closed,High,Email,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0,Other,10.28555555555556,3,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.2916711677649345
70,Michael Day,46,Female,Canon DSLR Camera,2020-02-13,Refund request,Refund request,Closed,High,Chat,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0,Billing,22.85333333333333,3,High Priority Issues,2,UK,55.3781,-3.436,True,0.13127187864644108
73,Tanya Powell,34,Female,Dyson Vacuum Cleaner,2021-02-16,Billing inquiry,Display issue,Closed,Low,Chat,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0,Technical Issue,3.287777777777778,1,Fast & Satisfied,1,USA,37.0902,-95.7129,False,0.3041568097330179
74,Philip Davis,36,Other,Fitbit Charge,2020-11-09,Cancellation request,Payment issue,Closed,Critical,Social media,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0,Billing,2.404722222222222,4,High Priority Issues,2,USA,37.0902,-95.7129,False,1.6633937853759964
76,Jennifer Bryan,37,Other,Roomba Robot Vacuum,2021-01-06,Product inquiry,Display issue,Closed,Critical,Chat,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0,Technical Issue,2.505555555555556,4,High Priority Issues,2,USA,37.0902,-95.7129,False,1.596452328159645
78,Alfred Ortiz,63,Female,Fitbit Charge,2020-12-29,Billing inquiry,Delivery problem,Closed,Low,Email,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0,Order & Delivery,15.35666666666667,1,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.06511829824180594
83,Joshua Miller,24,Male,PlayStation,2021-10-04,Refund request,Software bug,Closed,Low,Social media,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0,Technical Issue,20.59166666666667,1,Standard Service,3,Germany,51.1657,10.4515,True,0.04856333468231485
87,Danielle Everett,46,Male,Sony PlayStation,2020-01-18,Technical issue,Product recommendation,Closed,Critical,Phone,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0,Other,6.393055555555556,4,High Priority Issues,2,India,20.5937,78.9629,False,0.6256789050619161
90,Lisa Hill,40,Male,Sony Xperia,2020-01-30,Product inquiry,Product recommendation,Closed,Medium,Email,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0,Other,3.161111111111111,2,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.632688927943761
96,Linda Campbell,60,Male,Autodesk AutoCAD,2021-10-02,Product inquiry,Battery life,Closed,High,Chat,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0,Other,18.66361111111111,3,Fast & Satisfied,1,UK,55.3781,-3.436,True,0.16074059741922042
99,Nichole Huang,38,Male,Samsung Galaxy,2020-09-09,Billing inquiry,Refund request,Closed,High,Chat,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0,Billing,14.76472222222222,3,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.20318702613210923
103,Amber Zamora,40,Female,Asus ROG,2021-01-26,Refund request,Battery life,Closed,Critical,Email,2023-06-01 03:07:58,2023-06-01 15:23:58,3.0,Other,15.39944444444444,4,High Priority Issues,2,Canada,56.1304,-106.3468,False,0.2597496302175404
107,Miranda Morales,42,Female,Nintendo Switch,2021-05-20,Cancellation request,Installation support,Closed,Low,Email,2023-06-01 11:38:01,2023-06-01 20:46:01,2.0,Other,20.76694444444444,1,Standard Service,3,India,20.5937,78.9629,True,0.04815344899078397
109,Justin Martin,33,Male,Dyson Vacuum Cleaner,2020-01-08,Technical issue,Product setup,Closed,Critical,Chat,2023-06-01 02:55:03,2023-06-01 08:15:03,4.0,Other,8.250833333333333,4,Fast & Satisfied,1,India,20.5937,78.9629,False,0.48479951520048487
111,Brent Smith,60,Female,Amazon Echo,2021-07-28,Cancellation request,Peripheral compatibility,Closed,High,Email,2023-06-01 03:14:05,2023-06-01 12:43:05,2.0,Other,12.71805555555556,3,High Priority Issues,2,Germany,51.1657,10.4515,False,0.2358851152124057
114,Stephanie Shea,27,Other,Microsoft Office,2021-11-12,Cancellation request,Payment issue,Closed,High,Email,2023-06-01 03:24:09,2023-05-31 22:24:09,1.0,Billing,22.4025,3,High Priority Issues,2,Canada,56.1304,-106.3468,True,0.13391362571141613
115,William Byrd,28,Female,Sony 4K HDR TV,2020-09-20,Cancellation request,Battery life,Closed,High,Email,2023-06-01 10:27:10,2023-06-01 06:04:10,1.0,Other,6.069444444444445,3,High Priority Issues,2,Germany,51.1657,10.4515,False,0.49427917620137296
117,Sabrina Weber,20,Female,iPhone,2021-11-27,Cancellation request,Software bug,Closed,High,Email,2023-06-01 19:02:13,2023-06-01 18:17:13,5.0,Technical Issue,18.28694444444444,3,Fast & Satisfied,1,USA,37.0902,-95.7129,True,0.1640514635517142
118,Glenda Lopez,18,Male,Google Nest,2020-02-16,Billing inquiry,Product setup,Closed,Medium,Phone,2023-06-01 00:40:14,2023-06-01 04:42:14,5.0,Other,4.703888888888889,2,Fast & Satisfied,1,Canada,56.1304,-106.3468,False,0.42518011101925124
120,Sarah Stewart,41,Female,Fitbit Charge,2021-07-31,Billing inquiry,Software bug,Closed,Low,Phone,2023-06-01 04:22:17,2023-06-01 14:49:17,2.0,Technical Issue,14.82138888888889,1,Standard Service,3,Canada,56.1304,-106.3468,False,0.06747006016080363
129,Sandra Nelson,49,Male,Adobe Photoshop,2021-04-15,Cancellation request,Hardware issue,Closed,Medium,Email,2023-05-31 22:12:33,2023-06-01 00:29:33,3.0,Technical Issue,0.4925,2,Standard Service,3,USA,37.0902,-95.7129,False,4.060913705583756
131,Joshua Anderson,43,Male,Asus ROG,2020-02-13,Billing inquiry,Product recommendation,Closed,Medium,Email,2023-06-01 21:31:36,2023-06-01 15:03:36,2.0,Other,15.06,2,Standard Service,3,India,20.5937,78.9629,False,0.13280212483399734
134,Jill Walker,50,Male,Nintendo Switch,2021-06-17,Refund request,Refund request,Closed,Critical,Phone,2023-06-01 17:14:41,2023-05-31 22:53:41,5.0,Billing,22.89472222222222,4,Fast & Satisfied,1,India,20.5937,78.9629,True,0.17471275524441587
135,Nancy Bridges,66,Male,PlayStation,2020-05-01,Cancellation request,Product setup,Closed,Critical,Email,2023-06-01 07:40:42,2023-06-01 01:07:42,2.0,Other,1.128333333333333,4,High Priority Issues,2,Canada,56.1304,-106.3468,False,3.5450516986706067
138,Jack Lee,21,Other,Amazon Echo,2021-12-20,Technical issue,Network problem,Closed,Low,Chat,2023-06-01 09:56:46,2023-06-01 09:08:46,4.0,Other,9.14611111111111,1,Fast & Satisfied,1,USA,37.0902,-95.7129,False,0.10933608698293143
139,Elizabeth Lopez,58,Male,Adobe Photoshop,2021-02-12,Product inquiry,Product compatibility,Closed,Critical,Chat,2023-05-31 23:52:47,2023-06-01 06:58:47,2.0,Other,6.979722222222223,4,High Priority Issues,2,UK,55.3781,-3.436,False,0.573088709356469
141,Michael Burns,47,Male,LG Washing Machine,2021-05-09,Cancellation request,Product setup,Closed,Critical,Email,2023-06-01 09:35:50,2023-06-01 05:30:50,1.0,Other,5.513888888888889,4,High Priority Issues,2,Germany,51.1657,10.4515,False,0.72544080604534
142,Lisa Garcia,31,Other,Sony PlayStation,2020-04-13,Technical issue,Software bug,Closed,High,Chat,2023-06-01 21:18:52,2023-06-01 05:10:52,2.0,Technical Issue,5.181111111111111,3,High Priority Issues,2,Canada,56.1304,-106.3468,False,0.5790263778683251
148,Tyler Miller MD,22,Female,Apple AirPods,2020-10-06,Billing inquiry,Product compatibility,Closed,Low,Social media,2023-06-01 13:45:03,2023-05-31 23:28:03,3.0,Other,23.4675,1,Standard Service,3,India,20.5937,78.9629,True,0.042612123149035896
149,Rebecca Nelson,40,Other,LG Washing Machine,2021-10-24,Refund request,Installation support,Closed,High,Chat,2023-06-01 08:45:05,2023-06-01 13:55:05,1.0,Other,13.91805555555556,3,High Priority Issues,2,USA,37.0902,-95.7129,False,0.21554735056381594
150,Kenneth Cruz,64,Female,Philips Hue Lights,2021-03-18,Technical issue,Peripheral compatibility,Closed,Critical,Email,2023-06-01 16:34:07,2023-06-01 20:02:07,3.0,Other,20.03527777777778,4,High Priority Issues,2,USA,37.0902,-95.7129,True,0.1996478433873584
151,Samantha Jackson,29,Female,Google Pixel,2020-10-14,Refund request,Product recommendation,Closed,Critical,Email,2023-06-01 15:33:09,2023-06-01 06:51:09,4.0,Other,6.8525,4,Fast & Satisfied,1,India,20.5937,78.9629,False,0.5837285662167092
162,William Huerta,29,Female,HP Pavilion,2020-01-06,Refund request,Product setup,Closed,High,Phone,2023-06-01 03:19:25,2023-06-01 15:58:25,3.0,Other,15.97361111111111,3,High Priority Issues,2,Canada,56.1304,-106.3468,False,0.18780975567341973
163,Sarah Dougherty,30,Male,Bose SoundLink Speaker,2021-10-23,Refund request,Payment issue,Closed,Critical,Phone,2023-06-01 21:38:27,2023-06-01 10:37:27,1.0,Billing,10.62416666666667,4,High Priority Issues,2,UK,55.3781,-3.436,False,0.37650011765628666
164,Brett Wu,34,Male,Microsoft Office,2020-11-11,Cancellation request,Product recommendation,Closed,Medium,Phone,2023-06-01 19:15:27,2023-06-01 09:02:27,3.0,Other,9.040833333333333,2,Standard Service,3,USA,37.0902,-95.7129,False,0.2212185454880634
165,Rebecca Patton,24,Male,HP Pavilion,2021-05-21,Billing inquiry,Product setup,Closed,Low,Social media,2023-06-01 19:39:29,2023-06-01 21:26:29,5.0,Other,21.44138888888889,1,Fast & Satisfied,1,Canada,56.1304,-106.3468,True,0.0466387697728951
167,Steven Johnson,32,Female,Xbox,2020-04-03,Refund request,Battery life,Closed,Medium,Email,2023-06-01 04:35:32,2023-06-01 07:29:32,3.0,Other,7.492222222222222,2,Standard Service,3,Germany,51.1657,10.4515,False,0.2669434969598102
168,Michael Coleman,41,Male,Garmin Forerunner,2020-01-31,Technical issue,Delivery problem,Closed,Medium,Chat,2023-06-01 12:41:33,2023-06-01 06:19:33,3.0,Order & Delivery,6.325833333333334,2,Standard Service,3,Canada,56.1304,-106.3468,False,0.31616387827690684
170,Sara Jones,30,Male,Sony Xperia,2020-08-04,Product inquiry,Network problem,Closed,Medium,Phone,2023-06-01 14:14:36,2023-06-01 11:08:36,1.0,Other,11.14333333333333,2,Standard Service,3,Canada,56.1304,-106.3468,False,0.1794795094226743
171,Angel Saunders,44,Female,Microsoft Office,2021-12-24,Billing inquiry,Product setup,Closed,Low,Social media,2023-06-01 15:42:38,2023-06-01 18:36:38,4.0,Other,18.61055555555556,1,Fast & Satisfied,1,UK,55.3781,-3.436,True,0.053732947252156764
176,Mark Wright,42,Other,PlayStation,2021-10-18,Technical issue,Delivery problem,Closed,Medium,Email,2023-06-01 13:14:45,2023-06-01 07:23:45,4.0,Order & Delivery,7.395833333333333,2,Fast & Satisfied,1,Canada,56.1304,-106.3468,False,0.27042253521126763
183,James Roman,33,Female,Samsung Soundbar,2021-04-18,Product inquiry,Delivery problem,Closed,High,Chat,2023-06-01 01:29:56,2023-06-01 06:34:56,4.0,Order & Delivery,6.582222222222223,3,Fast & Satisfied,1,UK,55.3781,-3.436,False,0.45577312626603644
184,Teresa Rivera,32,Female,Google Pixel,2020-03-16,Billing inquiry,Network problem,Closed,Medium,Phone,2023-05-31 23:38:57,2023-06-01 03:51:57,4.0,Other,3.865833333333333,2,Fast & Satisfied,1,Canada,56.1304,-106.3468,False,0.5173528777753827
189,Beth Gonzales,37,Other,Roomba Robot Vacuum,2021-01-10,Refund request,Product compatibility,Closed,High,Phone,2023-06-01 15:58:03,2023-06-01 07:32:03,1.0,Other,7.534166666666667,3,High Priority Issues,2,USA,37.0902,-95.7129,False,0.3981860413671054
193,Brandon Holland,58,Other,GoPro Hero,2021-10-28,Product inquiry,Account access,Closed,Medium,Phone,2023-06-01 21:31:09,2023-05-31 22:49:09,1.0,Authentication,22.81916666666667,2,Standard Service,3,Germany,51.1657,10.4515,True,0.08764561954497314
195,Cynthia Allen,57,Male,Samsung Soundbar,2021-06-15,Billing inquiry,Payment issue,Closed,Medium,Social media,2023-06-01 04:08:11,2023-06-01 11:49:11,2.0,Billing,11.81972222222222,2,Standard Service,3,India,20.5937,78.9629,False,0.16920871424878384
198,Riley Hobbs,30,Male,MacBook Pro,2021-01-28,Refund request,Delivery problem,Closed,High,Chat,2023-06-01 02:54:15,2023-05-31 22:36:15,3.0,Order & Delivery,22.60416666666667,3,High Priority Issues,2,USA,37.0902,-95.7129,True,0.13271889400921658
199,Michael Young,60,Female,Amazon Echo,2021-07-23,Cancellation request,Product setup,Closed,Critical,Chat,2023-06-01 01:07:17,2023-06-01 19:24:17,5.0,Other,19.40472222222222,4,Fast & Satisfied,1,Canada,56.1304,-106.3468,True,0.20613539086992003
200,Sierra Cole,66,Other,Canon EOS,2020-09-19,Product inquiry,Software bug,Closed,Medium,Chat,2023-06-01 12:39:19,2023-06-01 20:34:19,5.0,Technical Issue,20.57194444444444,2,Fast & Satisfied,1,India,20.5937,78.9629,True,0.09721978422609003
205,Hector Perez,43,Female,Google Nest,2020-06-11,Cancellation request,Software bug,Closed,High,Phone,2023-06-01 17:47:28,2023-06-01 17:50:28,3.0,Technical Issue,17.84111111111111,3,High Priority Issues,2,Germany,51.1657,10.4515,True,0.16815096219717257
206,Mary Williams,55,Male,Sony Xperia,2020-11-24,Refund request,Delivery problem,Closed,Medium,Phone,2023-06-01 13:56:29,2023-06-01 11:18:29,1.0,Order & Delivery,11.30805555555555,2,Standard Service,3,UK,55.3781,-3.436,False,0.176865066692869
210,Michael Phillips,62,Other,Nintendo Switch Pro Controller,2020-02-04,Technical issue,Delivery problem,Closed,Low,Chat,2023-06-01 21:50:34,2023-06-01 20:10:34,1.0,Order & Delivery,20.17611111111111,1,Standard Service,3,Canada,56.1304,-106.3468,True,0.04956356527246194
220,Brendan Lang II,65,Female,Canon EOS,2021-09-23,Technical issue,Refund request,Closed,Critical,Social media,2023-06-01 09:57:49,2023-06-01 11:02:49,2.0,Billing,11.04694444444444,4,High Priority Issues,2,Germany,51.1657,10.4515,False,0.36209107596369045
221,Jacqueline Weaver,70,Female,Sony Xperia,2021-03-21,Billing inquiry,Installation support,Closed,Medium,Social media,2023-06-01 13:53:51,2023-06-01 05:45:51,5.0,Other,5.764166666666667,2,Fast & Satisfied,1,Germany,51.1657,10.4515,False,0.3469712303021541
226,Heather Hood,35,Female,PlayStation,2020-03-29,Technical issue,Product recommendation,Closed,High,Chat,2023-06-01 12:23:57,2023-05-31 21:54:57,4.0,Other,21.91583333333333,3,Fast & Satisfied,1,Germany,51.1657,10.4515,True,0.13688733411916804
227,Angelica Tucker,53,Female,Apple AirPods,2021-01-04,Billing inquiry,Product recommendation,Closed,High,Phone,2023-05-31 22:49:59,2023-06-01 16:11:59,4.0,Other,16.19972222222222,3,Fast & Satisfied,1,Canada,56.1304,-106.3468,False,0.18518836056859686
230,Rhonda Gomez,66,Male,Microsoft Xbox Controller,2021-02-20,Technical issue,Hardware issue,Closed,Critical,Social media,2023-06-01 08:10:04,2023-06-01 10:40:04,2.0,Technical Issue,10.66777777777778,4,High Priority Issues,2,USA,37.0902,-95.7129,False,0.37496094156858656
237,Leslie Watson,40,Male,iPhone,2021-01-07,Refund request,Refund request,Closed,Critical,Phone,2023-06-01 08:21:14,2023-06-01 00:43:14,3.0,Billing,0.7205555555555555,4,High Priority Issues,2,USA,37.0902,-95.7129,False,5.5512721665381655
238,Marcia Lewis,31,Male,Sony Xperia,2021-09-16,Product inquiry,Peripheral compatibility,Closed,High,Social media,2023-06-01 00:51:16,2023-06-01 08:38:16,4.0,Other,8.637777777777778,3,Fast & Satisfied,1,India,20.5937,78.9629,False,0.34731155132492925
241,Michael Adams,66,Male,Philips Hue Lights,2021-07-25,Technical issue,Delivery problem,Closed,Low,Social media,2023-06-01 12:44:21,2023-06-01 09:42:21,5.0,Order & Delivery,9.705833333333333,1,Fast & Satisfied,1,Germany,51.1657,10.4515,False,0.10303082338799692
242,Marcus Rice,55,Male,iPhone,2021-10-26,Billing inquiry,Product compatibility,Closed,Low,Social media,2023-06-01 08:10:23,2023-06-01 21:49:23,2.0,Other,21.82305555555556,1,Standard Service,3,India,20.5937,78.9629,True,0.04582309738681058
250,David Madden,35,Male,Sony PlayStation,2021-09-20,Refund request,Product compatibility,Closed,High,Chat,2023-06-01 15:10:34,2023-06-01 14:34:34,3.0,Other,14.57611111111111,3,High Priority Issues,2,India,20.5937,78.9629,False,0.2058162137439494
251,Zachary Weiss,19,Female,Roomba Robot Vacuum,2021-07-27,Technical issue,Product setup,Closed,Critical,Phone,2023-06-01 03:15:34,2023-06-01 08:04:34,2.0,Other,8.07611111111111,4,High Priority Issues,2,UK,55.3781,-3.436,False,0.4952878860837862
260,Ryan Johnson,33,Male,PlayStation,2021-08-14,Billing inquiry,Battery life,Closed,Low,Social media,2023-06-01 05:54:46,2023-06-01 11:26:46,5.0,Other,11.44611111111111,1,Fast & Satisfied,1,USA,37.0902,-95.7129,False,0.08736591758481775
263,John Stewart,48,Male,Microsoft Surface,2021-12-11,Product inquiry,Hardware issue,Closed,Medium,Chat,2023-06-01 05:44:50,2023-06-01 00:08:50,2.0,Technical Issue,0.1472222222222222,2,Standard Service,3,Germany,51.1657,10.4515,False,13.58490566037736
265,Joshua Shaw,46,Other,Sony Xperia,2021-06-28,Refund request,Cancellation request,Closed,Critical,Social media,2023-06-01 16:39:52,2023-06-01 04:42:52,3.0,Feature Request,4.714444444444444,4,High Priority Issues,2,India,20.5937,78.9629,False,0.8484562809333019
266,Emily Hill,29,Male,LG OLED,2020-04-27,Cancellation request,Product compatibility,Closed,Medium,Chat,2023-06-01 20:18:54,2023-06-01 16:15:54,2.0,Other,16.265,2,Standard Service,3,UK,55.3781,-3.436,False,0.12296341838303104
270,Kathleen Graves,64,Other,MacBook Pro,2021-05-10,Refund request,Hardware issue,Closed,High,Social media,2023-06-01 07:21:57,2023-06-01 16:09:57,3.0,Technical Issue,16.16583333333333,3,High Priority Issues,2,Germany,51.1657,10.4515,False,0.18557657611217074
271,Patrick Byrd,63,Male,Xbox,2021-01-08,Billing inquiry,Data loss,Closed,Critical,Phone,2023-06-01 14:06:58,2023-06-01 13:27:58,1.0,Other,13.46611111111111,4,High Priority Issues,2,India,20.5937,78.9629,False,0.2970419571764512
278,Brandon Brown,39,Female,Autodesk AutoCAD,2020-02-26,Billing inquiry,Refund request,Closed,Medium,Chat,2023-06-01 20:36:06,2023-06-01 14:25:06,4.0,Billing,14.41833333333333,2,Fast & Satisfied,1,India,20.5937,78.9629,False,0.13871228759680965
279,Bobby Ferguson,21,Other,Apple AirPods,2021-06-07,Technical issue,Software bug,Closed,Low,Social media,2023-06-01 00:42:08,2023-05-31 23:05:08,5.0,Technical Issue,23.08555555555555,1,Fast & Satisfied,1,USA,37.0902,-95.7129,True,0.04331712951821727
281,Mark Lambert,33,Male,Bose SoundLink Speaker,2021-05-08,Product inquiry,Refund request,Closed,Critical,Chat,2023-06-01 14:22:11,2023-06-01 16:09:11,2.0,Billing,16.15305555555556,4,High Priority Issues,2,Germany,51.1657,10.4515,False,0.24763116713384112
293,Adrian Ford,35,Female,Philips Hue Lights,2021-12-09,Billing inquiry,Product compatibility,Closed,High,Email,2023-06-01 05:29:23,2023-06-01 09:47:23,2.0,Other,9.789722222222222,3,High Priority Issues,2,Germany,51.1657,10.4515,False,0.3064438328178645
295,Brian Li,58,Female,Philips Hue Lights,2020-09-03,Product inquiry,Cancellation request,Closed,Critical,Phone,2023-06-01 01:49:25,2023-06-01 00:15:25,3.0,Feature Request,0.2569444444444444,4,High Priority Issues,2,Germany,51.1657,10.4515,False,15.567567567567568
297,Mindy Medina,26,Female,Microsoft Xbox Controller,2021-04-02,Billing inquiry,Installation support,Closed,Medium,Social media,2023-06-01 11:27:26,2023-06-01 08:26:26,5.0,Other,8.440555555555555,2,Fast & Satisfied,1,USA,37.0902,-95.7129,False,0.23695122753899822
298,Amy Byrd,24,Male,Apple AirPods,2020-09-12,Cancellation request,Cancellation request,Closed,Critical,Phone,2023-06-01 04:14:28,2023-06-01 17:40:28,2.0,Feature Request,17.67444444444444,4,High Priority Issues,2,UK,55.3781,-3.436,False,0.22631545860313076
303,Tara Stevenson,44,Male,Amazon Kindle,2020-01-22,Product inquiry,Peripheral compatibility,Closed,Medium,Phone,2023-06-01 00:49:37,2023-06-01 01:53:37,1.0,Other,1.893611111111111,2,Standard Service,3,Canada,56.1304,-106.3468,False,1.0561830717324336
