Ticket ID,Customer Name,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Country,Resolution_Duration,Priority_Score,Similarity_Score,Similarity_Level,Latitude,Longitude,Country_Encoded,Resolution_Efficiency,Efficiency_Level,Satisfaction_Level,Age_Group,Is_Resolved,Cluster_ID,Cluster_Name,cluster_names,Team,Performance_Score
11,Joseph Moreno,48,Male,Nintendo Switch,2021-01-19,Cancellation request,Data loss,Closed,High,Phone,2023-06-01 17:46:49,2023-05-31 23:51:49,1,Germany,6,3,0.09409989646016609,Low,51.1657,10.4515,4,0.7727272727272727,High Efficiency,Low Satisfaction,Senior,1,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
12,Brandon Arnold,51,Male,Microsoft Xbox Controller,2021-10-24,Product inquiry,Software bug,Closed,High,Chat,2023-06-01 12:05:51,2023-06-01 09:27:51,1,UK,6,3,0.09409989646016609,Low,,,3,0.7727272727272727,High Efficiency,Low Satisfaction,Senior,1,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
13,Tamara Hahn,27,Other,Nintendo Switch Pro Controller,2021-05-26,Technical issue,Hardware issue,Pending Customer Response,Low,Chat,2023-06-01 19:03:53,2023-06-01 11:17:48,3,Australia,6,1,0.14285845940021782,Low,-25.2744,133.7751,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
14,Sandra Barnes,65,Other,Nest Thermostat,2020-07-13,Technical issue,Product setup,Pending Customer Response,Low,Chat,2023-06-01 20:34:54,2023-06-01 11:17:48,3,Canada,6,1,0.14285845940021782,Low,56.1304,-106.3468,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
15,Amy Hill,48,Female,Sony PlayStation,2020-02-29,Billing inquiry,Product setup,Closed,High,Chat,2023-06-01 06:22:55,2023-05-31 23:08:55,4,India,6,3,0.09409989646016609,Low,20.5937,78.9629,5,0.7727272727272727,High Efficiency,High Satisfaction,Senior,1,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
16,Elizabeth Foley,18,Other,GoPro Action Camera,2021-06-24,Billing inquiry,Product recommendation,Pending Customer Response,High,Social media,2023-06-01 15:09:57,2023-06-01 11:17:48,3,Germany,6,3,0.09409989646016609,Low,51.1657,10.4515,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
17,Julia Salazar,63,Other,Xbox,2021-10-13,Product inquiry,Account access,Closed,Critical,Chat,2023-06-01 19:46:59,2023-06-01 15:58:59,4,Australia,6,4,0.0,Low,-25.2744,133.7751,2,0.7727272727272727,High Efficiency,High Satisfaction,Elder,1,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
18,Joshua Castillo,56,Female,Microsoft Xbox Controller,2020-09-07,Product inquiry,Payment issue,Pending Customer Response,High,Chat,2023-06-01 21:05:01,2023-06-01 11:17:48,3,Australia,6,3,0.09409989646016609,Low,-25.2744,133.7751,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
19,Wendy Davis,19,Male,LG Washing Machine,2021-09-23,Product inquiry,Peripheral compatibility,Open,High,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,India,6,3,0.09409989646016609,Low,20.5937,78.9629,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
20,Jeffrey Robertson,39,Female,Canon EOS,2021-03-08,Refund request,Software bug,Closed,Low,Chat,2023-06-01 00:46:04,2023-06-01 20:29:04,5,Germany,19,1,0.0,Low,51.1657,10.4515,2,0.18181818181818182,Low Efficiency,High Satisfaction,Adult,1,1,High Priority - Slow Resolution,Medium Resolution,Team A,62
21,Suzanne Holmes,28,Other,HP Pavilion,2021-05-31,Refund request,Payment issue,Pending Customer Response,High,Chat,2023-06-01 05:08:05,2023-06-01 11:17:48,3,Canada,6,3,0.09409989646016609,Low,56.1304,-106.3468,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
22,Tanner Conley,66,Male,Fitbit Versa Smartwatch,2020-02-04,Cancellation request,Installation support,Pending Customer Response,Critical,Social media,2023-05-31 23:57:07,2023-06-01 11:17:48,3,USA,6,4,0.0,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
23,Stephanie Nelson DVM,54,Female,Xbox,2020-02-11,Cancellation request,Delivery problem,Open,Medium,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team C,88
24,Antonio Scott,63,Female,Nintendo Switch Pro Controller,2021-08-06,Technical issue,Refund request,Pending Customer Response,Low,Social media,2023-06-01 09:06:09,2023-06-01 11:17:48,3,India,6,1,0.14285845940021782,Low,20.5937,78.9629,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
25,John Cuevas,19,Male,Amazon Kindle,2021-05-25,Product inquiry,Display issue,Open,Critical,Email,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Australia,6,4,0.0,Low,-25.2744,133.7751,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
26,Gregory Bautista,35,Other,HP Pavilion,2021-07-05,Product inquiry,Refund request,Pending Customer Response,Medium,Social media,2023-06-01 19:02:12,2023-06-01 11:17:48,3,Canada,6,2,0.2559980842312421,Low,56.1304,-106.3468,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
27,Ryan Sharp,22,Other,Lenovo ThinkPad,2020-05-02,Billing inquiry,Cancellation request,Pending Customer Response,Low,Social media,2023-06-01 20:02:13,2023-06-01 11:17:48,3,Germany,6,1,0.14285845940021782,Low,51.1657,10.4515,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
28,Michael Mcdowell,21,Other,Fitbit Charge,2020-10-12,Cancellation request,Product setup,Open,High,Phone,2023-06-01 11:26:25,2023-06-01 11:17:48,3,USA,6,3,0.09409989646016609,Low,,,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
29,Christine Wang,30,Other,Fitbit Charge,2020-06-10,Technical issue,Product recommendation,Closed,Critical,Phone,2023-05-31 23:17:17,2023-06-01 06:03:17,5,USA,6,4,0.0,Low,,,2,0.7727272727272727,High Efficiency,High Satisfaction,Adult,1,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
30,Austin George,67,Male,Xbox,2020-12-26,Cancellation request,Cancellation request,Closed,Medium,Phone,2023-06-01 00:54:17,2023-06-01 18:23:17,1,UK,17,2,0.0,Low,,,2,0.2727272727272727,Low Efficiency,Low Satisfaction,Elder,1,1,High Priority - Slow Resolution,Medium Resolution,Team C,66
31,Wendy Roberts,22,Other,Adobe Photoshop,2021-01-28,Billing inquiry,Product setup,Open,Low,Email,2023-06-01 11:26:25,2023-06-01 11:17:48,3,UK,6,1,0.14285845940021782,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
32,Robert Wilson,60,Male,GoPro Action Camera,2021-12-20,Technical issue,Product compatibility,Closed,Medium,Social media,2023-06-01 06:42:21,2023-06-01 07:16:21,3,India,1,2,1.0,High,20.5937,78.9629,3,1.0,High Efficiency,Medium Satisfaction,Senior,1,2,Medium Priority - Normal Resolution,Slow Resolution,Team D,98
33,Christina Gray,36,Female,Fitbit Charge,2021-12-07,Billing inquiry,Product recommendation,Pending Customer Response,Medium,Chat,2023-06-01 19:36:21,2023-06-01 11:17:48,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
34,Timothy Lyons,50,Male,Autodesk AutoCAD,2021-12-09,Refund request,Hardware issue,Closed,Critical,Social media,2023-06-01 02:01:23,2023-06-01 18:25:23,5,Germany,16,4,0.0,Low,51.1657,10.4515,0,0.3181818181818182,Low Efficiency,High Satisfaction,Senior,1,1,High Priority - Slow Resolution,Medium Resolution,Team C,68
35,Stacy Jones,27,Male,Microsoft Xbox Controller,2021-04-09,Refund request,Installation support,Pending Customer Response,Low,Chat,2023-06-01 20:50:24,2023-06-01 11:17:48,3,Australia,6,1,0.14285845940021782,Low,-25.2744,133.7751,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
36,Joann King,24,Other,GoPro Hero,2020-10-13,Cancellation request,Product recommendation,Closed,High,Chat,2023-06-01 07:56:25,2023-06-01 00:14:25,1,Australia,6,3,0.09409989646016609,Low,-25.2744,133.7751,3,0.7727272727272727,High Efficiency,Low Satisfaction,Youth,1,0,Low Priority - Fast Resolution,Fast Resolution,Team A,88
37,Ruben Henry,65,Female,Canon EOS,2020-03-14,Refund request,Hardware issue,Pending Customer Response,Medium,Email,2023-06-01 15:51:28,2023-06-01 11:17:48,3,Australia,6,2,0.2559980842312421,Low,-25.2744,133.7751,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
38,Morgan Wagner,39,Female,Amazon Kindle,2020-09-02,Product inquiry,Product compatibility,Open,Medium,Chat,2023-06-01 11:26:25,2023-06-01 11:17:48,3,UK,6,2,0.2559980842312421,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team C,88
39,Kevin Ingram,19,Male,Google Pixel,2021-09-10,Technical issue,Account access,Closed,Critical,Phone,2023-06-01 18:45:30,2023-05-31 21:53:30,3,Germany,6,4,0.0,Low,51.1657,10.4515,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,1,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
40,Michael Oneal,33,Other,Amazon Echo,2021-10-22,Product inquiry,Account access,Pending Customer Response,Medium,Social media,2023-05-31 22:19:32,2023-06-01 11:17:48,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
41,Casey Tran,19,Female,PlayStation,2021-02-07,Product inquiry,Installation support,Pending Customer Response,Low,Phone,2023-06-01 09:11:33,2023-06-01 11:17:48,3,USA,6,1,0.14285845940021782,Low,,,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
42,Katie Mitchell,35,Male,Dell XPS,2021-06-09,Billing inquiry,Product compatibility,Closed,Critical,Chat,2023-06-01 20:25:34,2023-06-01 14:43:34,3,UK,6,4,0.0,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,1,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
43,Justin Giles,22,Male,Samsung Galaxy,2020-10-10,Product inquiry,Product compatibility,Pending Customer Response,Medium,Phone,2023-06-01 18:41:35,2023-06-01 11:17:48,3,Canada,6,2,0.2559980842312421,Low,56.1304,-106.3468,2,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
44,Michael Allison,54,Female,iPhone,2020-01-16,Technical issue,Hardware issue,Open,Low,Email,2023-06-01 11:26:25,2023-06-01 11:17:48,3,UK,6,1,0.14285845940021782,Low,,,2,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
45,Donald Gibbs,34,Other,HP Pavilion,2021-09-25,Refund request,Product compatibility,Closed,Critical,Email,2023-06-01 05:58:39,2023-06-01 03:19:39,2,Canada,6,4,0.0,Low,56.1304,-106.3468,3,0.7727272727272727,High Efficiency,Low Satisfaction,Adult,1,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
46,Timothy Sutton,65,Female,LG Smart TV,2021-02-01,Product inquiry,Cancellation request,Open,Low,Chat,2023-06-01 11:26:25,2023-06-01 11:17:48,3,USA,6,1,0.14285845940021782,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
47,Cassandra Richards,50,Female,Nintendo Switch Pro Controller,2020-10-15,Refund request,Network problem,Closed,High,Phone,2023-06-01 03:43:43,2023-06-01 09:24:43,1,India,5,3,0.701398632426932,Medium,20.5937,78.9629,3,0.8181818181818182,High Efficiency,Low Satisfaction,Senior,1,2,Medium Priority - Normal Resolution,Slow Resolution,Team A,90
48,Kristen Perry,27,Female,GoPro Hero,2020-07-29,Technical issue,Software bug,Closed,Medium,Social media,2023-06-01 07:16:45,2023-06-01 05:59:45,1,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,3,0.7727272727272727,High Efficiency,Low Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
49,Noah Mcknight,32,Other,LG OLED,2021-02-15,Cancellation request,Network problem,Open,High,Chat,2023-06-01 11:26:25,2023-06-01 11:17:48,3,USA,6,3,0.09409989646016609,Low,,,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
50,Katie Johnson,44,Male,Microsoft Office,2020-09-27,Technical issue,Display issue,Open,Medium,Chat,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
51,Kayla Dunn,66,Male,Sony Xperia,2020-12-22,Refund request,Software bug,Open,Medium,Chat,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Australia,6,2,0.2559980842312421,Low,-25.2744,133.7751,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team C,88
52,Tracy White,64,Male,LG Smart TV,2020-11-20,Refund request,Software bug,Closed,Medium,Chat,2023-06-01 16:21:49,2023-06-01 10:31:49,3,India,6,2,0.2559980842312421,Low,20.5937,78.9629,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,1,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
53,Christian Graves,54,Male,Nest Thermostat,2021-10-10,Refund request,Network problem,Closed,High,Social media,2023-06-01 01:54:49,2023-06-01 20:59:49,3,India,19,3,0.0,Low,20.5937,78.9629,4,0.18181818181818182,Low Efficiency,Medium Satisfaction,Senior,1,1,High Priority - Slow Resolution,Medium Resolution,Team B,62
54,Casey Reed,37,Male,HP Pavilion,2021-08-16,Cancellation request,Delivery problem,Closed,Low,Chat,2023-06-01 00:39:50,2023-06-01 10:25:50,4,USA,9,1,0.0,Low,,,5,0.6363636363636364,Medium Efficiency,High Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team D,82
55,Carrie Ayers,68,Female,Microsoft Xbox Controller,2021-10-14,Technical issue,Network problem,Pending Customer Response,Low,Chat,2023-06-01 07:25:51,2023-06-01 11:17:48,3,India,6,1,0.14285845940021782,Low,20.5937,78.9629,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
56,Sarah Cole,50,Female,Nintendo Switch Pro Controller,2021-11-19,Cancellation request,Software bug,Pending Customer Response,Critical,Chat,2023-06-01 11:14:53,2023-06-01 11:17:48,3,Canada,6,4,0.0,Low,56.1304,-106.3468,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
57,Alison Ford,69,Male,Autodesk AutoCAD,2021-12-22,Technical issue,Software bug,Pending Customer Response,Medium,Social media,2023-06-01 10:33:53,2023-06-01 11:17:48,3,India,6,2,0.2559980842312421,Low,20.5937,78.9629,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
58,Lori Young,47,Other,GoPro Action Camera,2020-07-28,Refund request,Peripheral compatibility,Open,Critical,Email,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Germany,6,4,0.0,Low,51.1657,10.4515,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
59,Kimberly Mack,27,Male,Autodesk AutoCAD,2020-07-31,Technical issue,Product recommendation,Closed,Medium,Phone,2023-06-01 11:56:57,2023-06-01 04:45:57,5,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,5,0.7727272727272727,High Efficiency,High Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
60,Samuel Schroeder,40,Other,Apple AirPods,2021-09-05,Product inquiry,Cancellation request,Closed,Medium,Chat,2023-06-01 19:50:58,2023-06-01 00:38:58,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
61,Amanda Burton,40,Male,Sony 4K HDR TV,2020-11-16,Cancellation request,Product setup,Closed,Medium,Chat,2023-06-01 00:18:00,2023-06-01 11:55:00,1,Germany,11,2,0.0,Low,51.1657,10.4515,3,0.5454545454545454,Medium Efficiency,Low Satisfaction,Adult,1,1,High Priority - Slow Resolution,Medium Resolution,Team B,78
62,Sarah Williams,41,Other,Lenovo ThinkPad,2021-11-21,Product inquiry,Battery life,Pending Customer Response,Critical,Social media,2023-06-01 01:32:02,2023-06-01 11:17:48,3,Canada,6,4,0.0,Low,56.1304,-106.3468,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
63,Frank Sherman,64,Female,Xbox,2020-12-12,Billing inquiry,Payment issue,Closed,High,Email,2023-05-31 23:37:04,2023-06-01 12:41:04,4,UK,13,3,0.0,Low,,,2,0.45454545454545453,Low Efficiency,High Satisfaction,Elder,1,1,High Priority - Slow Resolution,Medium Resolution,Team A,74
64,Victoria Parker,57,Female,Adobe Photoshop,2020-04-24,Billing inquiry,Hardware issue,Pending Customer Response,High,Phone,2023-06-01 07:07:05,2023-06-01 11:17:48,3,Australia,6,3,0.09409989646016609,Low,-25.2744,133.7751,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
65,David Smith,61,Male,Microsoft Xbox Controller,2021-08-02,Technical issue,Product compatibility,Open,Medium,Phone,2023-06-01 11:26:25,2023-06-01 11:17:48,3,USA,6,2,0.2559980842312421,Low,,,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Elder,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
66,Jeffrey Hernandez,56,Male,Apple AirPods,2021-11-11,Technical issue,Battery life,Pending Customer Response,Medium,Phone,2023-05-31 22:38:07,2023-06-01 11:17:48,3,Germany,6,2,0.2559980842312421,Low,51.1657,10.4515,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
67,John Robertson,49,Female,GoPro Hero,2021-08-08,Billing inquiry,Product compatibility,Closed,High,Email,2023-06-01 05:06:08,2023-06-01 10:17:08,5,India,5,3,0.701398632426932,Medium,20.5937,78.9629,3,0.8181818181818182,High Efficiency,High Satisfaction,Senior,1,2,Medium Priority - Normal Resolution,Slow Resolution,Team B,90
68,Ryan Gonzalez,54,Male,Microsoft Office,2021-06-27,Cancellation request,Peripheral compatibility,Pending Customer Response,Low,Phone,2023-06-01 21:04:10,2023-06-01 11:17:48,3,Germany,6,1,0.14285845940021782,Low,51.1657,10.4515,0,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,3,Critical Priority - Urgent Attention,Critical Issues,Team C,88
69,Brianna Scott MD,51,Other,Adobe Photoshop,2021-02-06,Technical issue,Product compatibility,Pending Customer Response,Critical,Chat,2023-05-31 23:00:12,2023-06-01 11:17:48,3,India,6,4,0.0,Low,20.5937,78.9629,5,0.7727272727272727,High Efficiency,Medium Satisfaction,Senior,0,0,Low Priority - Fast Resolution,Fast Resolution,Team B,88
70,Michael Day,46,Female,Canon DSLR Camera,2020-02-13,Refund request,Refund request,Closed,High,Chat,2023-06-01 11:57:12,2023-05-31 22:51:12,1,Australia,6,3,0.09409989646016609,Low,-25.2744,133.7751,5,0.7727272727272727,High Efficiency,Low Satisfaction,Senior,1,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
71,Eileen Kim,27,Male,Google Pixel,2021-05-15,Cancellation request,Product setup,Pending Customer Response,Medium,Chat,2023-05-31 23:49:14,2023-06-01 11:17:48,3,Australia,6,2,0.2559980842312421,Low,-25.2744,133.7751,2,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team B,88
72,Joseph Costa,37,Other,iPhone,2020-09-26,Refund request,Delivery problem,Open,Medium,Social media,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Australia,6,2,0.2559980842312421,Low,-25.2744,133.7751,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,3,Critical Priority - Urgent Attention,Critical Issues,Team A,88
73,Tanya Powell,34,Female,Dyson Vacuum Cleaner,2021-02-16,Billing inquiry,Display issue,Closed,Low,Chat,2023-06-01 04:35:16,2023-06-01 03:17:16,4,India,6,1,0.14285845940021782,Low,20.5937,78.9629,0,0.7727272727272727,High Efficiency,High Satisfaction,Adult,1,3,Critical Priority - Urgent Attention,Critical Issues,Team D,88
74,Philip Davis,36,Other,Fitbit Charge,2020-11-09,Cancellation request,Payment issue,Closed,Critical,Social media,2023-06-01 21:31:17,2023-06-01 02:24:17,3,Germany,6,4,0.0,Low,51.1657,10.4515,4,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,1,0,Low Priority - Fast Resolution,Fast Resolution,Team C,88
75,Vanessa Hayes,31,Female,Xbox,2021-04-16,Billing inquiry,Product setup,Open,Critical,Email,2023-06-01 11:26:25,2023-06-01 11:17:48,3,Australia,6,4,0.0,Low,-25.2744,133.7751,3,0.7727272727272727,High Efficiency,Medium Satisfaction,Adult,0,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
76,Jennifer Bryan,37,Other,Roomba Robot Vacuum,2021-01-06,Product inquiry,Display issue,Closed,Critical,Chat,2023-06-01 14:43:20,2023-06-01 02:30:20,1,Canada,6,4,0.0,Low,56.1304,-106.3468,1,0.7727272727272727,High Efficiency,Low Satisfaction,Adult,1,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
77,Matthew Scott,18,Other,iPhone,2020-06-30,Cancellation request,Account access,Open,Critical,Phone,2023-06-01 11:26:25,2023-06-01 11:17:48,3,India,6,4,0.0,Low,20.5937,78.9629,1,0.7727272727272727,High Efficiency,Medium Satisfaction,Youth,0,0,Low Priority - Fast Resolution,Fast Resolution,Team D,88
