Ticket ID,Customer Name,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Resolution_Duration,Priority_Score,resolution_hours,Region,Latitude,Longitude,Cluster_Size,Performance_Score
11,Joseph Moreno,48,Male,Nintendo Switch,19-01-2021,Cancellation Request,Data loss,Closed,High,Phone,01-06-2023 17:46,31-05-2023 23:51,862,3,17.916666666666668,Other Global,0,0,1695,2.37
12,Brandon Arnold,51,Male,Microsoft Xbox Controller,24-10-2021,Product Inquiry,Software bug,Closed,High,Chat,01-06-2023 12:05,01-06-2023 09:27,585,3,2.6333333333333333,Other Global,0,0,1641,8.88
13,Tamara Hahn,27,Other,Nintendo Switch Pro Controller,26-05-2021,Technical Issue,Hardware issue,Pending Customer Response,Low,Chat,01-06-2023 19:03,,-1,1,,Other Global,0,0,1747,
14,Sandra Barnes,65,Other,Nest Thermostat,13-07-2020,Technical Issue,Product setup,Pending Customer Response,Low,Chat,01-06-2023 20:34,,-1,1,,Other Global,0,0,1747,
15,Amy Hill,48,Female,Sony PlayStation,29-02-2020,Billing Inquiry,Product setup,Closed,High,Chat,01-06-2023 06:22,31-05-2023 23:08,1187,3,7.233333333333333,Other Global,0,0,1634,6.92
16,Elizabeth Foley,18,Other,GoPro Action Camera,24-06-2021,Billing Inquiry,Product recommendation,Pending Customer Response,High,Social media,01-06-2023 15:09,,-1,3,,Other Global,0,0,1634,
17,Julia Salazar,63,Other,Xbox,13-10-2021,Product Inquiry,Account access,Closed,Critical,Chat,01-06-2023 19:46,01-06-2023 15:58,596,4,3.8,Other Global,0,0,1641,8.38
18,Joshua Castillo,56,Female,Microsoft Xbox Controller,07-09-2020,Product Inquiry,Payment issue,Pending Customer Response,High,Chat,01-06-2023 21:05,,-1,3,,Other Global,0,0,1641,
19,Wendy Davis,19,Male,LG Washing Machine,23-09-2021,Product Inquiry,Peripheral compatibility,Open,High,Social media,,,-1,3,,Other Global,0,0,1641,
20,Jeffrey Robertson,39,Female,Canon EOS,08-03-2021,Refund Request,Software bug,Closed,Low,Chat,01-06-2023 00:46,01-06-2023 20:29,815,1,19.716666666666665,North America,37.09,-95.71,1752,1.6
21,Suzanne Holmes,28,Other,HP Pavilion,31-05-2021,Refund Request,Payment issue,Pending Customer Response,High,Chat,01-06-2023 05:08,,-1,3,,Other Global,0,0,1752,
22,Tanner Conley,66,Male,Fitbit Versa Smartwatch,04-02-2020,Cancellation Request,Installation support,Pending Customer Response,Critical,Social media,31-05-2023 23:57,,-1,4,,Other Global,0,0,1695,
23,Stephanie Nelson DVM,54,Female,Xbox,11-02-2020,Cancellation Request,Delivery problem,Open,Medium,Social media,,,-1,2,,Other Global,0,0,1695,
24,Antonio Scott,63,Female,Nintendo Switch Pro Controller,06-08-2021,Technical Issue,Refund request,Pending Customer Response,Low,Social media,01-06-2023 09:06,,-1,1,,Other Global,0,0,1747,
25,John Cuevas,19,Male,Amazon Kindle,25-05-2021,Product Inquiry,Display issue,Open,Critical,Email,,,-1,4,,Other Global,0,0,1641,
26,Gregory Bautista,35,Other,HP Pavilion,05-07-2021,Product Inquiry,Refund request,Pending Customer Response,Medium,Social media,01-06-2023 19:02,,-1,2,,Other Global,0,0,1641,
27,Ryan Sharp,22,Other,Lenovo ThinkPad,02-05-2020,Billing Inquiry,Cancellation request,Pending Customer Response,Low,Social media,01-06-2023 20:02,,-1,1,,Other Global,0,0,1634,
28,Michael Mcdowell,21,Other,Fitbit Charge,12-10-2020,Cancellation Request,Product setup,Open,High,Phone,,,-1,3,,Other Global,0,0,1695,
29,Christine Wang,30,Other,Fitbit Charge,10-06-2020,Technical Issue,Product recommendation,Closed,Critical,Phone,31-05-2023 23:17,01-06-2023 06:03,1086,4,6.766666666666667,Other Global,0,0,1747,7.12
30,Austin George,67,Male,Xbox,26-12-2020,Cancellation Request,Cancellation request,Closed,Medium,Phone,01-06-2023 00:54,01-06-2023 18:23,887,2,17.483333333333334,Other Global,0,0,1695,2.55
31,Wendy Roberts,22,Other,Adobe Photoshop,28-01-2021,Billing Inquiry,Product setup,Open,Low,Email,,,-1,1,,Other Global,0,0,1634,
32,Robert Wilson,60,Male,GoPro Action Camera,20-12-2021,Technical Issue,Product compatibility,Closed,Medium,Social media,01-06-2023 06:42,01-06-2023 07:16,528,2,0.5666666666666667,Other Global,0,0,1747,9.76
33,Christina Gray,36,Female,Fitbit Charge,07-12-2021,Billing Inquiry,Product recommendation,Pending Customer Response,Medium,Chat,01-06-2023 19:36,,-1,2,,Other Global,0,0,1634,
34,Timothy Lyons,50,Male,Autodesk AutoCAD,09-12-2021,Refund Request,Hardware issue,Closed,Critical,Social media,01-06-2023 02:01,01-06-2023 18:25,539,4,16.4,Middle East,23.88,45.07,1752,3.01
35,Stacy Jones,27,Male,Microsoft Xbox Controller,09-04-2021,Refund Request,Installation support,Pending Customer Response,Low,Chat,01-06-2023 20:50,,-1,1,,Other Global,0,0,1752,
36,Joann King,24,Other,GoPro Hero,13-10-2020,Cancellation Request,Product recommendation,Closed,High,Chat,01-06-2023 07:56,01-06-2023 00:14,961,3,7.7,North America,37.09,-95.71,1695,6.72
37,Ruben Henry,65,Female,Canon EOS,14-03-2020,Refund Request,Hardware issue,Pending Customer Response,Medium,Email,01-06-2023 15:51,,-1,2,,North America,37.09,-95.71,1752,
38,Morgan Wagner,39,Female,Amazon Kindle,02-09-2020,Product Inquiry,Product compatibility,Open,Medium,Chat,,,-1,2,,Other Global,0,0,1641,
39,Kevin Ingram,19,Male,Google Pixel,10-09-2021,Technical Issue,Account access,Closed,Critical,Phone,01-06-2023 18:45,31-05-2023 21:53,628,4,20.866666666666667,Other Global,0,0,1747,1.11
40,Michael Oneal,33,Other,Amazon Echo,22-10-2021,Product Inquiry,Account access,Pending Customer Response,Medium,Social media,31-05-2023 22:19,,-1,2,,Other Global,0,0,1641,
41,Casey Tran,19,Female,PlayStation,07-02-2021,Product Inquiry,Installation support,Pending Customer Response,Low,Phone,01-06-2023 09:11,,-1,1,,Other Global,0,0,1641,
42,Katie Mitchell,35,Male,Dell XPS,09-06-2021,Billing Inquiry,Product compatibility,Closed,Critical,Chat,01-06-2023 20:25,01-06-2023 14:43,722,4,5.7,Asia-Pacific,1.35,103.81,1634,7.57
43,Justin Giles,22,Male,Samsung Galaxy,10-10-2020,Product Inquiry,Product compatibility,Pending Customer Response,Medium,Phone,01-06-2023 18:41,,-1,2,,Asia-Pacific,1.35,103.81,1641,
44,Michael Allison,54,Female,iPhone,16-01-2020,Technical Issue,Hardware issue,Open,Low,Email,,,-1,1,,Asia-Pacific,1.35,103.81,1747,
45,Donald Gibbs,34,Other,HP Pavilion,25-09-2021,Refund Request,Product compatibility,Closed,Critical,Email,01-06-2023 05:58,01-06-2023 03:19,614,4,2.65,Other Global,0,0,1752,8.87
46,Timothy Sutton,65,Female,LG Smart TV,01-02-2021,Product Inquiry,Cancellation request,Open,Low,Chat,,,-1,1,,Europe,54.52,15.25,1641,
47,Cassandra Richards,50,Female,Nintendo Switch Pro Controller,15-10-2020,Refund Request,Network problem,Closed,High,Phone,01-06-2023 03:43,01-06-2023 09:24,959,3,5.683333333333334,Other Global,0,0,1752,7.58
48,Kristen Perry,27,Female,GoPro Hero,29-07-2020,Technical Issue,Software bug,Closed,Medium,Social media,01-06-2023 07:16,01-06-2023 05:59,1037,2,1.2833333333333334,North America,37.09,-95.71,1747,9.45
49,Noah Mcknight,32,Other,LG OLED,15-02-2021,Cancellation Request,Network problem,Open,High,Chat,,,-1,3,,Other Global,0,0,1695,
50,Katie Johnson,44,Male,Microsoft Office,27-09-2020,Technical Issue,Display issue,Open,Medium,Chat,,,-1,2,,Latin America,-14.23,-51.92,1747,
51,Kayla Dunn,66,Male,Sony Xperia,22-12-2020,Refund Request,Software bug,Open,Medium,Chat,,,-1,2,,Other Global,0,0,1752,
52,Tracy White,64,Male,LG Smart TV,20-11-2020,Refund Request,Software bug,Closed,Medium,Chat,01-06-2023 16:21,01-06-2023 10:31,923,2,5.833333333333333,Europe,54.52,15.25,1752,7.51
53,Christian Graves,54,Male,Nest Thermostat,10-10-2021,Refund Request,Network problem,Closed,High,Social media,01-06-2023 01:54,01-06-2023 20:59,599,3,19.08333333333333,Other Global,0,0,1752,1.87
54,Casey Reed,37,Male,HP Pavilion,16-08-2021,Cancellation Request,Delivery problem,Closed,Low,Chat,01-06-2023 00:39,01-06-2023 10:25,654,1,9.766666666666667,Other Global,0,0,1695,5.84
55,Carrie Ayers,68,Female,Microsoft Xbox Controller,14-10-2021,Technical Issue,Network problem,Pending Customer Response,Low,Chat,01-06-2023 07:25,,-1,1,,Other Global,0,0,1747,
56,Sarah Cole,50,Female,Nintendo Switch Pro Controller,19-11-2021,Cancellation Request,Software bug,Pending Customer Response,Critical,Chat,01-06-2023 11:14,,-1,4,,Other Global,0,0,1695,
57,Alison Ford,69,Male,Autodesk AutoCAD,22-12-2021,Technical Issue,Software bug,Pending Customer Response,Medium,Social media,01-06-2023 10:33,,-1,2,,Middle East,23.88,45.07,1747,
58,Lori Young,47,Other,GoPro Action Camera,28-07-2020,Refund Request,Peripheral compatibility,Open,Critical,Email,,,-1,4,,Other Global,0,0,1752,
59,Kimberly Mack,27,Male,Autodesk AutoCAD,31-07-2020,Technical Issue,Product recommendation,Closed,Medium,Phone,01-06-2023 11:56,01-06-2023 04:45,1035,2,7.183333333333334,Middle East,23.88,45.07,1747,6.94
60,Samuel Schroeder,40,Other,Apple AirPods,05-09-2021,Product Inquiry,Cancellation request,Closed,Medium,Chat,01-06-2023 19:50,01-06-2023 00:38,634,2,19.2,Other Global,0,0,1641,1.82
61,Amanda Burton,40,Male,Sony 4K HDR TV,16-11-2020,Cancellation Request,Product setup,Closed,Medium,Chat,01-06-2023 00:18,01-06-2023 11:55,927,2,11.616666666666667,Other Global,0,0,1695,5.05
62,Sarah Williams,41,Other,Lenovo ThinkPad,21-11-2021,Product Inquiry,Battery life,Pending Customer Response,Critical,Social media,01-06-2023 01:32,,-1,4,,Other Global,0,0,1641,
63,Frank Sherman,64,Female,Xbox,12-12-2020,Billing Inquiry,Payment issue,Closed,High,Email,31-05-2023 23:37,01-06-2023 12:41,901,3,13.066666666666666,Other Global,0,0,1634,4.43
64,Victoria Parker,57,Female,Adobe Photoshop,24-04-2020,Billing Inquiry,Hardware issue,Pending Customer Response,High,Phone,01-06-2023 07:07,,-1,3,,Other Global,0,0,1634,
65,David Smith,61,Male,Microsoft Xbox Controller,02-08-2021,Technical Issue,Product compatibility,Open,Medium,Phone,,,-1,2,,Other Global,0,0,1747,
66,Jeffrey Hernandez,56,Male,Apple AirPods,11-11-2021,Technical Issue,Battery life,Pending Customer Response,Medium,Phone,31-05-2023 22:38,,-1,2,,Other Global,0,0,1747,
67,John Robertson,49,Female,GoPro Hero,08-08-2021,Billing Inquiry,Product compatibility,Closed,High,Email,01-06-2023 05:06,01-06-2023 10:17,662,3,5.183333333333334,North America,37.09,-95.71,1634,7.79
68,Ryan Gonzalez,54,Male,Microsoft Office,27-06-2021,Cancellation Request,Peripheral compatibility,Pending Customer Response,Low,Phone,01-06-2023 21:04,,-1,1,,Latin America,-14.23,-51.92,1695,
69,Brianna Scott MD,51,Other,Adobe Photoshop,06-02-2021,Technical Issue,Product compatibility,Pending Customer Response,Critical,Chat,31-05-2023 23:00,,-1,4,,Other Global,0,0,1747,
70,Michael Day,46,Female,Canon DSLR Camera,13-02-2020,Refund Request,Refund request,Closed,High,Chat,01-06-2023 11:57,31-05-2023 22:51,1203,3,13.1,Other Global,0,0,1752,4.42
71,Eileen Kim,27,Male,Google Pixel,15-05-2021,Cancellation Request,Product setup,Pending Customer Response,Medium,Chat,31-05-2023 23:49,,-1,2,,Other Global,0,0,1695,
72,Joseph Costa,37,Other,iPhone,26-09-2020,Refund Request,Delivery problem,Open,Medium,Social media,,,-1,2,,Asia-Pacific,1.35,103.81,1752,
73,Tanya Powell,34,Female,Dyson Vacuum Cleaner,16-02-2021,Billing Inquiry,Display issue,Closed,Low,Chat,01-06-2023 04:35,01-06-2023 03:17,835,1,1.3,Other Global,0,0,1634,9.45
74,Philip Davis,36,Other,Fitbit Charge,09-11-2020,Cancellation Request,Payment issue,Closed,Critical,Social media,01-06-2023 21:31,01-06-2023 02:24,934,4,19.116666666666667,Other Global,0,0,1695,1.85
75,Vanessa Hayes,31,Female,Xbox,16-04-2021,Billing Inquiry,Product setup,Open,Critical,Email,,,-1,4,,Other Global,0,0,1634,
76,Jennifer Bryan,37,Other,Roomba Robot Vacuum,06-01-2021,Product Inquiry,Display issue,Closed,Critical,Chat,01-06-2023 14:43,01-06-2023 02:30,876,4,12.216666666666669,Other Global,0,0,1641,4.79
77,Matthew Scott,18,Other,iPhone,30-06-2020,Cancellation Request,Account access,Open,Critical,Phone,,,-1,4,,Asia-Pacific,1.35,103.81,1695,
78,Alfred Ortiz,63,Female,Fitbit Charge,29-12-2020,Billing Inquiry,Delivery problem,Closed,Low,Email,01-06-2023 19:16,01-06-2023 15:21,884,1,3.9166666666666665,Other Global,0,0,1634,8.33
79,John Goodman,55,Other,Google Pixel,07-01-2021,Billing Inquiry,Data loss,Pending Customer Response,Medium,Social media,01-06-2023 16:57,,-1,2,,Other Global,0,0,1634,
80,Catherine Stephens,40,Other,LG Smart TV,03-11-2020,Technical Issue,Software bug,Pending Customer Response,Critical,Chat,01-06-2023 11:27,,-1,4,,Europe,54.52,15.25,1747,
81,Sarah Lee,50,Other,Microsoft Office,22-03-2021,Technical Issue,Product recommendation,Pending Customer Response,Critical,Phone,01-06-2023 07:27,,-1,4,,Latin America,-14.23,-51.92,1747,
82,Kiara Parker,29,Other,Apple AirPods,22-07-2021,Cancellation Request,Cancellation request,Pending Customer Response,Medium,Email,01-06-2023 11:37,,-1,2,,Other Global,0,0,1695,
83,Joshua Miller,24,Male,PlayStation,04-10-2021,Refund Request,Software bug,Closed,Low,Social media,01-06-2023 05:40,01-06-2023 20:35,605,1,14.916666666666666,Other Global,0,0,1752,3.64
84,James Jones,57,Other,Autodesk AutoCAD,11-08-2021,Technical Issue,Installation support,Pending Customer Response,Critical,Phone,01-06-2023 00:24,,-1,4,,Middle East,23.88,45.07,1747,
85,David Taylor,67,Other,Microsoft Surface,02-08-2021,Technical Issue,Hardware issue,Open,Medium,Phone,,,-1,2,,Other Global,0,0,1747,
86,Richard Mullen,67,Female,Canon EOS,22-01-2021,Product Inquiry,Peripheral compatibility,Open,High,Social media,,,-1,3,,North America,37.09,-95.71,1641,
87,Danielle Everett,46,Male,Sony PlayStation,18-01-2020,Technical Issue,Product recommendation,Closed,Critical,Phone,01-06-2023 18:03,01-06-2023 06:23,1230,4,11.666666666666666,Other Global,0,0,1747,5.03
88,Steven Thompson,55,Other,Philips Hue Lights,10-09-2020,Technical Issue,Delivery problem,Pending Customer Response,High,Social media,01-06-2023 19:21,,-1,3,,Other Global,0,0,1747,
89,Renee White,42,Other,Nikon D,01-08-2021,Billing Inquiry,Product setup,Open,Critical,Email,,,-1,4,,Other Global,0,0,1634,
90,Lisa Hill,40,Male,Sony Xperia,30-01-2020,Product Inquiry,Product recommendation,Closed,Medium,Email,31-05-2023 23:17,01-06-2023 03:09,1218,2,3.8666666666666663,Other Global,0,0,1641,8.35
91,Sandra Bass,57,Other,Sony Xperia,15-10-2020,Refund Request,Software bug,Pending Customer Response,High,Phone,01-06-2023 07:15,,-1,3,,Other Global,0,0,1752,
92,Madeline Osborne,62,Male,iPhone,14-11-2021,Product Inquiry,Display issue,Pending Customer Response,Low,Email,01-06-2023 00:14,,-1,1,,Asia-Pacific,1.35,103.81,1641,
93,Sydney Wagner,44,Male,Bose QuietComfort,27-05-2021,Technical Issue,Peripheral compatibility,Pending Customer Response,Low,Email,01-06-2023 15:57,,-1,1,,Other Global,0,0,1747,
94,Jeremy Good,32,Female,PlayStation,24-05-2021,Refund Request,Installation support,Open,Low,Email,,,-1,1,,Other Global,0,0,1752,
95,Scott Estrada,65,Other,Microsoft Xbox Controller,06-12-2021,Product Inquiry,Account access,Open,Critical,Phone,,,-1,4,,Other Global,0,0,1641,
96,Linda Campbell,60,Male,Autodesk AutoCAD,02-10-2021,Product Inquiry,Battery life,Closed,High,Chat,01-06-2023 00:08,01-06-2023 18:39,607,3,18.516666666666666,Middle East,23.88,45.07,1641,2.11
97,Charles Simpson,18,Female,Roomba Robot Vacuum,25-10-2020,Cancellation Request,Battery life,Open,High,Social media,,,-1,3,,Other Global,0,0,1695,
98,Dan Newton,22,Other,Xbox,18-01-2020,Product Inquiry,Delivery problem,Pending Customer Response,High,Email,01-06-2023 01:55,,-1,3,,Other Global,0,0,1641,
99,Nichole Huang,38,Male,Samsung Galaxy,09-09-2020,Billing Inquiry,Refund request,Closed,High,Chat,01-06-2023 07:05,01-06-2023 14:45,995,3,7.666666666666667,Asia-Pacific,1.35,103.81,1634,6.73
100,Eric Saunders,23,Other,Samsung Soundbar,15-05-2020,Technical Issue,Hardware issue,Pending Customer Response,Low,Chat,01-06-2023 15:32,,-1,1,,Other Global,0,0,1747,
101,Maria Martinez,39,Female,Dyson Vacuum Cleaner,31-05-2020,Cancellation Request,Delivery problem,Pending Customer Response,High,Email,01-06-2023 21:36,,-1,3,,Other Global,0,0,1695,
102,Danielle Rogers,18,Other,iPhone,01-08-2021,Billing Inquiry,Software bug,Pending Customer Response,Critical,Phone,01-06-2023 21:00,,-1,4,,Asia-Pacific,1.35,103.81,1634,
103,Amber Zamora,40,Female,Asus ROG,26-01-2021,Refund Request,Battery life,Closed,Critical,Email,01-06-2023 03:07,01-06-2023 15:23,856,4,12.266666666666667,Other Global,0,0,1752,4.77
104,James Harris,49,Male,Dyson Vacuum Cleaner,24-02-2020,Refund Request,Battery life,Open,High,Chat,,,-1,3,,Other Global,0,0,1752,
105,Jill Glenn,58,Male,Fitbit Charge,27-06-2021,Refund Request,Product recommendation,Open,High,Phone,,,-1,3,,Other Global,0,0,1752,
106,Virginia Miller,56,Other,Dyson Vacuum Cleaner,17-07-2021,Product Inquiry,Battery life,Pending Customer Response,Critical,Chat,01-06-2023 02:08,,-1,4,,Other Global,0,0,1641,
107,Miranda Morales,42,Female,Nintendo Switch,20-05-2021,Cancellation Request,Installation support,Closed,Low,Email,01-06-2023 11:38,01-06-2023 20:46,742,1,9.133333333333333,Other Global,0,0,1695,6.11
108,Laura Collins,50,Other,LG Smart TV,09-06-2021,Technical Issue,Account access,Pending Customer Response,High,Email,01-06-2023 15:49,,-1,3,,Europe,54.52,15.25,1747,
109,Justin Martin,33,Male,Dyson Vacuum Cleaner,08-01-2020,Technical Issue,Product setup,Closed,Critical,Chat,01-06-2023 02:55,01-06-2023 08:15,1240,4,5.333333333333333,Other Global,0,0,1747,7.73
110,Mario Hodge,59,Female,Bose SoundLink Speaker,10-03-2020,Product Inquiry,Account access,Open,High,Email,,,-1,3,,Other Global,0,0,1641,
111,Brent Smith,60,Female,Amazon Echo,28-07-2021,Cancellation Request,Peripheral compatibility,Closed,High,Email,01-06-2023 03:14,01-06-2023 12:43,673,3,9.483333333333333,Other Global,0,0,1695,5.96
112,Autumn Heath,68,Male,Nintendo Switch Pro Controller,29-11-2021,Refund Request,Display issue,Open,High,Phone,,,-1,3,,Other Global,0,0,1752,
113,Lisa Cantrell,68,Female,Samsung Galaxy,24-03-2020,Product Inquiry,Display issue,Open,Medium,Social media,,,-1,2,,Asia-Pacific,1.35,103.81,1641,
114,Stephanie Shea,27,Other,Microsoft Office,12-11-2021,Cancellation Request,Payment issue,Closed,High,Email,01-06-2023 03:24,31-05-2023 22:24,565,3,5,Latin America,-14.23,-51.92,1695,7.87
115,William Byrd,28,Female,Sony 4K HDR TV,20-09-2020,Cancellation Request,Battery life,Closed,High,Email,01-06-2023 10:27,01-06-2023 06:04,984,3,4.383333333333334,Other Global,0,0,1695,8.13
116,Anthony Miller,29,Male,iPhone,16-01-2021,Technical Issue,Delivery problem,Open,Critical,Email,,,-1,4,,Asia-Pacific,1.35,103.81,1747,
117,Sabrina Weber,20,Female,iPhone,27-11-2021,Cancellation Request,Software bug,Closed,High,Email,01-06-2023 19:02,01-06-2023 18:17,551,3,0.75,Asia-Pacific,1.35,103.81,1695,9.68
118,Glenda Lopez,18,Male,Google Nest,16-02-2020,Billing Inquiry,Product setup,Closed,Medium,Phone,01-06-2023 00:40,01-06-2023 04:42,1201,2,4.033333333333333,Other Global,0,0,1634,8.28
119,Pedro Adams,39,Female,HP Pavilion,17-08-2020,Refund Request,Data loss,Open,High,Email,,,-1,3,,Other Global,0,0,1752,
120,Sarah Stewart,41,Female,Fitbit Charge,31-07-2021,Billing Inquiry,Software bug,Closed,Low,Phone,01-06-2023 04:22,01-06-2023 14:49,670,1,10.45,Other Global,0,0,1634,5.55
121,Anthony Harding,56,Male,Amazon Kindle,11-03-2021,Billing Inquiry,Refund request,Pending Customer Response,Medium,Chat,01-06-2023 18:02,,-1,2,,Other Global,0,0,1634,
122,Alexander Blake,37,Other,Bose SoundLink Speaker,03-03-2021,Product Inquiry,Peripheral compatibility,Open,Critical,Chat,,,-1,4,,Other Global,0,0,1641,
123,Hunter Meza,29,Other,Dell XPS,03-10-2020,Refund Request,Installation support,Open,Low,Social media,,,-1,1,,Asia-Pacific,1.35,103.81,1752,
124,Molly Ramos,36,Other,Samsung Galaxy,27-12-2021,Product Inquiry,Battery life,Pending Customer Response,Low,Email,01-06-2023 13:08,,-1,1,,Asia-Pacific,1.35,103.81,1641,
125,Julia Matthews,63,Male,Dyson Vacuum Cleaner,23-03-2021,Technical Issue,Product setup,Pending Customer Response,High,Phone,01-06-2023 02:14,,-1,3,,Other Global,0,0,1747,
126,Austin Murphy,45,Male,Philips Hue Lights,27-06-2020,Refund Request,Display issue,Open,Medium,Chat,,,-1,2,,Other Global,0,0,1752,
127,Melanie Garcia,68,Female,Lenovo ThinkPad,22-06-2020,Billing Inquiry,Cancellation request,Open,Low,Social media,,,-1,1,,Other Global,0,0,1634,
128,Mark Garcia,57,Male,Xbox,28-09-2020,Refund Request,Cancellation request,Pending Customer Response,Low,Email,01-06-2023 03:09,,-1,1,,Other Global,0,0,1752,
129,Sandra Nelson,49,Male,Adobe Photoshop,15-04-2021,Cancellation Request,Hardware issue,Closed,Medium,Email,31-05-2023 22:12,01-06-2023 00:29,777,2,2.283333333333333,Other Global,0,0,1695,9.03
130,Sandra Buchanan,55,Other,Amazon Echo,05-05-2021,Cancellation Request,Cancellation request,Pending Customer Response,Low,Email,01-06-2023 07:38,,-1,1,,Other Global,0,0,1695,
131,Joshua Anderson,43,Male,Asus ROG,13-02-2020,Billing Inquiry,Product recommendation,Closed,Medium,Email,01-06-2023 21:31,01-06-2023 15:03,1204,2,6.466666666666667,Other Global,0,0,1634,7.24
132,Jill Baldwin,49,Male,LG Smart TV,24-11-2021,Product Inquiry,Battery life,Pending Customer Response,Critical,Social media,01-06-2023 20:57,,-1,4,,Europe,54.52,15.25,1641,
133,Aaron Hensley,65,Female,PlayStation,01-05-2021,Cancellation Request,Data loss,Open,Medium,Phone,,,-1,2,,Other Global,0,0,1695,
134,Jill Walker,50,Male,Nintendo Switch,17-06-2021,Refund Request,Refund request,Closed,Critical,Phone,01-06-2023 17:14,31-05-2023 22:53,713,4,18.35,Other Global,0,0,1752,2.18
135,Nancy Bridges,66,Male,PlayStation,01-05-2020,Cancellation Request,Product setup,Closed,Critical,Email,01-06-2023 07:40,01-06-2023 01:07,1126,4,6.55,Other Global,0,0,1695,7.21
136,Jessica Gomez,35,Female,Samsung Galaxy,30-10-2021,Product Inquiry,Software bug,Pending Customer Response,Low,Chat,01-06-2023 02:05,,-1,1,,Asia-Pacific,1.35,103.81,1641,
137,Andrew Turner,46,Other,Bose SoundLink Speaker,01-10-2020,Cancellation Request,Software bug,Open,Critical,Email,,,-1,4,,Other Global,0,0,1695,
138,Jack Lee,21,Other,Amazon Echo,20-12-2021,Technical Issue,Network problem,Closed,Low,Chat,01-06-2023 09:56,01-06-2023 09:08,528,1,0.8,Other Global,0,0,1747,9.66
139,Elizabeth Lopez,58,Male,Adobe Photoshop,12-02-2021,Product Inquiry,Product compatibility,Closed,Critical,Chat,31-05-2023 23:52,01-06-2023 06:58,839,4,7.1,Other Global,0,0,1641,6.97
140,Amanda Miller,31,Other,LG OLED,12-03-2021,Cancellation Request,Battery life,Pending Customer Response,Low,Phone,01-06-2023 19:46,,-1,1,,Other Global,0,0,1695,
141,Michael Burns,47,Male,LG Washing Machine,09-05-2021,Cancellation Request,Product setup,Closed,Critical,Email,01-06-2023 09:35,01-06-2023 05:30,753,4,4.083333333333333,Other Global,0,0,1695,8.26
142,Lisa Garcia,31,Other,Sony PlayStation,13-04-2020,Technical Issue,Software bug,Closed,High,Chat,01-06-2023 21:18,01-06-2023 05:10,1144,3,16.133333333333333,Other Global,0,0,1747,3.12
143,Emily Hood,38,Female,Roomba Robot Vacuum,26-04-2021,Billing Inquiry,Product compatibility,Pending Customer Response,High,Chat,01-06-2023 14:31,,-1,3,,Other Global,0,0,1634,
144,David Black,38,Female,Canon DSLR Camera,05-05-2021,Cancellation Request,Account access,Open,Critical,Email,,,-1,4,,Other Global,0,0,1695,
145,Gregory Maynard,25,Female,Canon EOS,02-04-2021,Refund Request,Data loss,Open,Low,Social media,,,-1,1,,North America,37.09,-95.71,1752,
146,Gregory Zhang,46,Male,Philips Hue Lights,12-10-2020,Cancellation Request,Refund request,Pending Customer Response,Medium,Email,01-06-2023 15:24,,-1,2,,Other Global,0,0,1695,
